,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
0,Libin,HOUSE,HOUSE,299900.0,3.0,124.0,NOT_INSTALLED,False,,True,8.0,True,257.0,320,3,False,AS_NEW
1,Rixensart,HOUSE,HOUSE,399000.0,3.0,173.0,SEMI_EQUIPPED,False,,True,15.0,True,333.0,428,3,False,TO_RENOVATE
2,Rixensart Genval,HOUSE,HOUSE,485000.0,3.0,148.0,SEMI_EQUIPPED,False,,,,True,88.0,232,3,False,GOOD
3,Waterloo,HOUSE,HOUSE,549000.0,4.0,207.0,INSTALLED,False,,True,25.0,True,230.0,464,3,False,GOOD
4,Braine-l'Alleud,HOUSE,HOUSE,549000.0,4.0,207.0,INSTALLED,False,,True,25.0,True,230.0,464,3,False,GOOD
5,Crisnée,HOUSE,HOUSE,138000.0,2.0,120.0,NOT_INSTALLED,False,,True,16.0,,,90,3,False,TO_RENOVATE
6,Otegem,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
7,Gavere,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
8,Deinze,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
9,Beersel,HOUSE,VILLA,529000.0,3.0,146.0,HYPER_EQUIPPED,False,,True,15.0,True,310.0,530,4,False,GOOD
10,Gent Gentbrugge,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
12,Ixelles,HOUSE,HOUSE,995000.0,5.0,235.0,HYPER_EQUIPPED,False,2.0,True,20.0,True,,81,2,,GOOD
13,Liège,HOUSE,TOWN_HOUSE,199000.0,2.0,113.0,HYPER_EQUIPPED,False,,,,,,262,2,False,GOOD
14,Ronse,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
15,Geraardsbergen Moerbeke,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
16,Westerlo,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
17,Lierde,HOUSE_GROUP,HOUSE_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
18,Donceel,HOUSE,HOUSE,400000.0,4.0,330.0,INSTALLED,False,,True,120.0,True,850.0,1570,4,False,GOOD
19,Meerhout,HOUSE_GROUP,HOUSE_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
20,Oupeye Heure-le-Romain,HOUSE,HOUSE,499000.0,6.0,235.0,HYPER_EQUIPPED,False,,True,50.0,True,1352.0,1713,4,False,AS_NEW
21,Anderlecht,HOUSE,EXCEPTIONAL_PROPERTY,960000.0,6.0,353.0,USA_HYPER_EQUIPPED,False,,True,40.0,True,290.0,1090,3,False,AS_NEW
22,Bruxelles,HOUSE,MANSION,1950000.0,6.0,497.0,SEMI_EQUIPPED,False,,True,24.0,True,40.0,242,2,False,GOOD
